id,interest,year,pid,gender,activity,pride,routine,outoftouch,fbcommunity,shutdown,friends,time,trust,job,loan,advice,notimportant,connected,spendtime,newthings,community,newpeople,group,motives,dontshare,depend,dontunderstand,alone,cares,support,romantic,needromance,agreeable,conscientious,extraverted,neurotic,open,facebook,linkedin,degree,cluster,effective,constraint,hierarchy,betweenness,isolates,fdegree,mdegree,odegree,pisolates
Wildcat198,6,4,1,1,5,4,5,3,4,4,5,3,4,5,2,5,2,5,5,5,5,4,5,3,2,5,4,1,5,5,1,4,,,,,,0,1,27,,27.5,5.01,0.3,346.5,,,,,
Wildcat199,4,4,3,0,5,3,5,5,5,3,5,4,4,4,5,4,2,5,4,4,4,3,,,,,,,,,,,,,,,,0,1,80,0.093,50.6,4.26,1.11,2583.3,,,,,
Wildcat200,4,4,2,1,5,3,3,2,3,4,5,4,5,4,4,5,1,4,4,5,5,5,4,4,2,5,2,3,4,5,5,2,,,,,,0,1,161,0.2214,19.3,2.48,0.71,5187.6,,,,,
Wildcat201,1,4,6,1,5,5,5,4,5,5,5,6,5,4,5,4,1,3,5,5,3,4,4,5,3,5,1,4,5,5,4,3,,,,,,0,1,385,0.0456,305.9,1.07,0.36,59090.1,,,,,
Wildcat202,4,4,2,,5,3,5,4,4,3,5,3,5,3,4,5,1,4,4,5,5,5,5,5,1,5,1,1,5,5,1,4,0,63,41,24,75,0,1,8,55.36,-7.5,37.42,8.13,12.2,,,,,
Wildcat203,5,4,3,0,5,5,5,4,3,4,5,5,5,4,5,5,1,4,4,4,4,4,5,4,1,5,1,1,5,5,3,5,75,41,74,50,55,0,1,321,17.05,102.8,1.27,0.38,23608.6,,,,,
Wildcat204,2,4,5,1,5,4,5,3,4,2,2,4,5,5,4,5,2,4,5,5,5,5,5,5,2,5,1,2,5,5,1,2,80,88,69,58,62,0,1,1,,,,,,,,,,
Wildcat205,7,4,6,1,5,4,5,4,4,5,5,5,5,5,5,5,2,5,4,4,4,4,5,5,1,5,1,1,5,5,5,1,,,,,,0,1,499,0.1892,122.1,0.85,0.27,50095.2,,,,,
Wildcat206,3,4,4,0,5,3,4,3,3,5,4,3,5,3,4,5,4,5,5,5,4,3,,,,,,,,,,,61,90,39,53,70,0,1,17,75.92,-31.6,19.98,4.5799999,35.099998,,,,,
Wildcat207,6,4,5,0,5,5,5,4,4,3,5,4,5,5,5,5,1,4,4,5,5,5,,,,,,,,,,,,,,,,0,1,437,0.1131,239.9,0.93,0.28,52778.8,,,,,
Wildcat208,1,4,1,0,5,1,5,5,4,2,2,6,5,5,5,5,1,5,5,5,5,5,,,,,,,,,,,,,,,,0,1,489,0.0269,436.5,0.76,0.24,109197.3,,,,,
Wildcat209,5,4,3,1,5,4,5,4,3,4,5,5,,,,,,,,,,,5,5,1,5,1,1,5,5,5,1,65,66,55,40,60,0,1,5,-50,7,50,0,2,,,,,
Wildcat210,6,4,3,1,5,5,5,4,4,4,5,6,,,,,,,,,,,2,4,1,4,1,1,5,5,5,1,,,,,,0,1,125,0.1171,66.9,2.88,0.82,5666.1,,,,,
Wildcat211,6,4,3,1,5,4,5,3,3,4,1,3,,,,,,,,,,,5,5,1,5,2,2,5,5,5,1,,,,,,0,1,10,0.5556,-10,29.39,5.9,21,,,,,
Wildcat212,5,4,4,0,5,3,5,4,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,,-9,,14.06,0,,,,,
Wildcat213,6,4,4,0,5,3,5,4,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,204,-0.0025,206,0.49,0,20706,,,,,
Wildcat214,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,94,50,31,92,0,1,290,3.79,246.2,1.16,0.31,37600.9,,,,,
Wildcat215,6,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,79,81,12,98,0,1,14,-1.1,14.6,9.47,0.62,89,,,,,
Wildcat216,6,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,73,77,21,75,0,1,10,-2.78,11,12.5,0.5,44,,,,,
Wildcat217,3,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,62,42,50,60,0,1,1,,,,,,,,,,
